time,city,speed_kt,deg
2026-03-10 09:10:00,KarangKates,5.5,228
2026-03-10 09:10:00,Sawahan,3.2,264
2026-03-10 09:10:00,Tuban,9.5,294
2026-03-10 09:10:00,Pacitan,7.4,255
2026-03-10 09:10:00,Dhoho,8.3,160
2026-03-10 09:20:00,Juanda,1.4,287
2026-03-10 09:20:00,Perak,6.2,294
2026-03-10 09:20:00,Bawean,12.3,270
2026-03-10 09:20:00,Kalianget,4.9,325
2026-03-10 09:20:00,Banyuwangi,7.3,192
2026-03-10 09:20:00,KarangPloso,4.5,206
2026-03-10 09:20:00,Tretes,0.9,51
2026-03-10 09:20:00,KarangKates,5.5,228
2026-03-10 09:20:00,Sawahan,3.2,264
2026-03-10 09:20:00,Tuban,9.5,294
2026-03-10 09:20:00,Pacitan,7.4,255
2026-03-10 09:20:00,Dhoho,8.3,160
2026-03-10 09:30:00,Juanda,8.0,80
2026-03-10 09:30:00,Perak,5.8,306
2026-03-10 09:30:00,Bawean,13.4,277
2026-03-10 09:30:00,Kalianget,4.5,312
2026-03-10 09:30:00,Banyuwangi,6.1,200
2026-03-10 09:30:00,KarangPloso,4.5,206
2026-03-10 09:30:00,Tretes,1.4,171
2026-03-10 09:30:00,KarangKates,3.9,228
2026-03-10 09:30:00,Sawahan,2.0,242
2026-03-10 09:30:00,Tuban,7.4,284
2026-03-10 09:30:00,Pacitan,6.4,260
2026-03-10 09:30:00,Dhoho,8.6,162
2026-03-10 09:40:00,Juanda,0.9,317
2026-03-10 09:40:00,Perak,5.8,306
2026-03-10 09:40:00,Bawean,13.4,277
2026-03-10 09:40:00,Kalianget,4.5,312
2026-03-10 09:40:00,Banyuwangi,6.1,200
2026-03-10 09:40:00,KarangPloso,4.4,212
2026-03-10 09:40:00,Tretes,1.4,171
2026-03-10 09:40:00,KarangKates,3.9,228
2026-03-10 09:40:00,Sawahan,2.0,242
2026-03-10 09:40:00,Tuban,7.4,284
2026-03-10 09:40:00,Pacitan,6.4,260
2026-03-10 09:40:00,Dhoho,8.6,162
2026-03-10 09:50:00,Juanda,0.9,317
2026-03-10 09:50:00,Perak,5.8,306
2026-03-10 09:50:00,Bawean,13.4,277
2026-03-10 09:50:00,Kalianget,4.5,312
2026-03-10 09:50:00,Banyuwangi,6.1,200
2026-03-10 09:50:00,KarangPloso,4.4,212
2026-03-10 09:50:00,Tretes,1.4,171
2026-03-10 09:50:00,KarangKates,3.9,228
2026-03-10 09:50:00,Sawahan,2.0,242
2026-03-10 09:50:00,Tuban,7.4,284
2026-03-10 09:50:00,Pacitan,6.4,260
2026-03-10 09:50:00,Dhoho,8.6,162
2026-03-10 10:00:00,Juanda,0.9,317
2026-03-10 10:00:00,Perak,5.8,306
2026-03-10 10:00:00,Bawean,13.4,277
2026-03-10 10:00:00,Kalianget,4.5,312
2026-03-10 10:00:00,Banyuwangi,6.1,200
2026-03-10 10:00:00,KarangPloso,4.4,212
2026-03-10 10:00:00,Tretes,1.4,171
2026-03-10 10:00:00,KarangKates,3.9,228
2026-03-10 10:00:00,Sawahan,2.0,242
2026-03-10 10:00:00,Tuban,7.4,284
2026-03-10 10:00:00,Pacitan,6.4,260
2026-03-10 10:00:00,Dhoho,8.6,162
2026-03-10 10:10:00,Juanda,0.9,317
2026-03-10 10:10:00,Perak,5.8,306
2026-03-10 10:10:00,Bawean,13.4,277
2026-03-10 10:10:00,Kalianget,4.5,312
2026-03-10 10:10:00,Banyuwangi,6.1,200
2026-03-10 10:10:00,KarangPloso,4.4,212
2026-03-10 10:10:00,Tretes,1.4,171
2026-03-10 10:10:00,KarangKates,3.9,228
2026-03-10 10:10:00,Sawahan,2.0,242
2026-03-10 10:10:00,Tuban,7.4,284
2026-03-10 10:10:00,Pacitan,6.4,260
2026-03-10 10:10:00,Dhoho,8.6,162
2026-03-10 10:20:00,Juanda,0.9,317
2026-03-10 10:20:00,Perak,5.8,306
2026-03-10 10:20:00,Bawean,13.4,277
2026-03-10 10:20:00,Kalianget,4.5,312
2026-03-10 10:20:00,Banyuwangi,6.1,200
2026-03-10 10:20:00,KarangPloso,4.4,212
2026-03-10 10:20:00,Tretes,1.4,171
2026-03-10 10:20:00,KarangKates,3.9,228
2026-03-10 10:20:00,Sawahan,2.0,242
2026-03-10 10:20:00,Tuban,7.4,284
2026-03-10 10:20:00,Pacitan,6.4,260
2026-03-10 10:20:00,Dhoho,8.6,162
2026-03-10 10:30:00,Juanda,5.0,10
2026-03-10 10:30:00,Perak,4.5,327
2026-03-10 10:30:00,Bawean,13.4,277
2026-03-10 10:30:00,Kalianget,3.8,320
2026-03-10 10:30:00,Banyuwangi,4.6,217
2026-03-10 10:30:00,KarangPloso,3.9,211
2026-03-10 10:30:00,Tretes,3.5,189
2026-03-10 10:30:00,KarangKates,3.9,228
2026-03-10 10:30:00,Sawahan,3.1,212
2026-03-10 10:30:00,Tuban,6.6,273
2026-03-10 10:30:00,Pacitan,4.9,269
2026-03-10 10:30:00,Dhoho,9.0,166
2026-03-10 10:40:00,Juanda,1.3,53
2026-03-10 10:40:00,Perak,4.0,10
2026-03-10 10:40:00,Bawean,14.2,281
2026-03-10 10:40:00,Kalianget,3.8,320
2026-03-10 10:40:00,Banyuwangi,4.6,217
2026-03-10 10:40:00,KarangPloso,3.9,211
2026-03-10 10:40:00,Tretes,3.5,189
2026-03-10 10:40:00,KarangKates,2.0,245
2026-03-10 10:40:00,Sawahan,3.1,212
2026-03-10 10:40:00,Tuban,6.6,273
